Trade Hub,40.7069,-74.0113
Trade Hub,43.6481,-79.3802
Trade Hub,19.4326,-99.1332
Trade Hub,-23.5505,-46.6333
Trade Hub,-34.6037,-58.3816
Trade Hub,-33.4489,-70.6693
Trade Hub,51.5155,-0.0922
Trade Hub,35.6828,139.759
Trade Hub,31.2304,121.4737
Trade Hub,22.2855,114.1577
Trade Hub,-26.2041,28.0473
Trade Hub,-1.2921,36.8219
Trade Hub,-33.8688,151.2093
Trade Hub,-41.2865,174.7762
Trade Hub,-9.4783,147.1509
Trade Hub,47.038187,-122.895556
Trade Hub,31.196370,29.899891
Trade Hub,17.435422,78.383216
Trade Hub,25.227217,55.288543
Trade Hub,40.417060,-3.691923
Trade Hub,52.496694,13.290349
Trade Hub,55.675536,12.584035
Trade Hub,52.230166,21.023178
Trade Hub,38.637730,-90.213086
Trade Hub,36.917199,7.765874
Trade Hub,44.579539,33.522482
Trade Hub,26.847091,80.936416
Trade Hub,3.822281,103.348776
Trade Hub,15.484622,120.976603
Trade Hub,10.298641,123.977153
Trade Hub,44.996227,-93.209321
Trade Hub,33.749869,-118.199784
Trade Hub,32.814208,-96.861474
Trade Hub,32.012255,-80.847283
Trade Hub,-0.055356,116.219376
Trade Hub,-6.104621,106.802548
Trade Hub,37.924941,23.708589










